,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
1151,ins_1199252510,M3_2_6,j_1274904,1,Terminated,386335,386562,m_468,1,1,94.0,158.0,0.13,0.16
1152,ins_526367097,M3_2_6,j_1274904,1,Terminated,386334,386490,m_2883,1,1,95.0,156.0,0.12,0.15
1164,ins_172539253,M3_2_6,j_1274904,1,Terminated,386335,386546,m_412,1,1,91.0,159.0,0.13,0.16
1166,ins_497919899,M3_2_6,j_1274904,1,Terminated,386335,386586,m_1891,1,1,86.0,159.0,0.14,0.16
1169,ins_9834944,M3_2_6,j_1274904,1,Terminated,386335,386569,m_20,1,1,91.0,159.0,0.13,0.16
1176,ins_755094364,M3_2_6,j_1274904,1,Terminated,386335,386521,m_3892,1,1,71.0,130.0,0.12,0.15
1183,ins_711222284,M3_2_6,j_1274904,1,Terminated,386335,386588,m_3233,1,1,86.0,130.0,0.13,0.16
1184,ins_836420548,M3_2_6,j_1274904,1,Terminated,386335,386465,m_1576,1,1,92.0,149.0,0.12,0.15
1187,ins_526375020,M3_2_6,j_1274904,1,Terminated,386335,386519,m_3222,1,1,83.0,150.0,0.13,0.16
1191,ins_647114186,M3_2_6,j_1274904,1,Terminated,386335,386582,m_1286,1,1,87.0,161.0,0.13,0.16
1194,ins_579240167,M3_2_6,j_1274904,1,Terminated,386335,386578,m_3530,1,1,88.0,148.0,0.13,0.16
1204,ins_647114815,M3_2_6,j_1274904,1,Terminated,386335,386575,m_634,1,1,89.0,158.0,0.14,0.16
1209,ins_9834535,M3_2_6,j_1274904,1,Terminated,386335,386561,m_758,1,1,94.0,187.0,0.14,0.16
1218,ins_1115810588,M3_2_6,j_1274904,1,Terminated,386335,386564,m_484,1,1,93.0,168.0,0.13,0.16
1223,ins_647113824,M3_2_6,j_1274904,1,Terminated,386335,386636,m_479,1,1,73.0,120.0,0.13,0.16
1224,ins_253883250,M3_2_6,j_1274904,1,Terminated,386335,386517,m_3101,1,1,100.0,179.0,0.13,0.16
1227,ins_172539090,M3_2_6,j_1274904,1,Terminated,386335,386542,m_3099,1,1,93.0,148.0,0.13,0.16
1233,ins_579240024,M3_2_6,j_1274904,1,Terminated,386336,386657,m_1843,1,1,69.0,125.0,0.13,0.16
1238,ins_1036544281,M3_2_6,j_1274904,1,Terminated,386335,386572,m_3801,1,1,91.0,166.0,0.13,0.16
1251,ins_792541957,M3_2_6,j_1274904,1,Terminated,386335,386573,m_508,1,1,88.0,149.0,0.13,0.16
1263,ins_755085384,M3_2_6,j_1274904,1,Terminated,386335,386474,m_2592,1,1,95.0,155.0,0.12,0.15
1266,ins_615275264,M3_2_6,j_1274904,1,Terminated,386335,386575,m_1462,1,1,90.0,156.0,0.14,0.16
1270,ins_1280563913,M3_2_6,j_1274904,1,Terminated,386335,386555,m_774,1,1,93.0,166.0,0.14,0.16
1274,ins_873891442,M3_2_6,j_1274904,1,Terminated,386335,386568,m_2446,1,1,91.0,164.0,0.14,0.16
1284,ins_792542679,M3_2_6,j_1274904,1,Terminated,386335,386585,m_3658,1,1,87.0,131.0,0.13,0.16
1286,ins_253883638,M3_2_6,j_1274904,1,Terminated,386335,386510,m_2632,1,1,101.0,178.0,0.13,0.16
1291,ins_1330221059,M3_2_6,j_1274904,1,Terminated,386335,386592,m_3342,1,1,84.0,143.0,0.13,0.16
1293,ins_55157859,M3_2_6,j_1274904,1,Terminated,386335,386582,m_2787,1,1,65.0,164.0,0.12,0.16
1296,ins_91172038,M3_2_6,j_1274904,1,Terminated,386334,386538,m_3874,1,1,101.0,168.0,0.13,0.16
1303,ins_91289938,M3_2_6,j_1274904,1,Terminated,386335,386652,m_2218,1,1,75.0,135.0,0.14,0.16
1307,ins_792542752,M3_2_6,j_1274904,1,Terminated,386335,386563,m_680,1,1,90.0,134.0,0.13,0.16
1314,ins_91289709,M3_2_6,j_1274904,1,Terminated,386335,386626,m_3412,1,1,79.0,143.0,0.14,0.16
1317,ins_9834853,M3_2_6,j_1274904,1,Terminated,386335,386573,m_1996,1,1,90.0,162.0,0.13,0.16
1322,ins_724515487,M3_2_6,j_1274904,1,Terminated,386335,386561,m_302,1,1,93.0,149.0,0.13,0.16
